CGG_NM,STDG_NM,BLDG_USG,평균전세가_만원,거래건수
영등포구,영등포동7가,아파트,75523.8,152
중구,중림동,아파트,75133.9,28
광진구,자양동,아파트,75026.5,546
종로구,통인동,연립다세대,75000.0,1
마포구,동교동,아파트,75000.0,1
성북구,삼선동3가,아파트,74992.3,13
중구,만리동1가,아파트,74801.1,17
성동구,행당동,아파트,74772.9,447
서초구,내곡동,아파트,74608.5,98
용산구,청파동3가,아파트,74500.0,1
강동구,고덕동,아파트,74418.3,615
송파구,송파동,아파트,72867.5,262
용산구,문배동,아파트,72820.6,131
서대문구,북아현동,아파트,72682.1,330
용산구,한남동,오피스텔,72666.7,3
서대문구,냉천동,아파트,72342.5,32
종로구,신문로2가,오피스텔,72000.0,1
용산구,용문동,아파트,71630.0,25
성북구,보문동1가,아파트,71629.2,38
마포구,창전동,아파트,71419.8,124
영등포구,문래동3가,아파트,71127.8,92
성동구,성수동2가,아파트,70929.4,175
강동구,둔촌동,아파트,70815.3,284
서대문구,합동,아파트,70650.0,6
중구,순화동,아파트,70505.9,17
동작구,상도동,아파트,70492.2,745
영등포구,당산동4가,아파트,69951.7,186
강동구,상일동,아파트,69948.1,781
송파구,문정동,아파트,69440.8,512
송파구,거여동,아파트,69238.6,693
중구,입정동,아파트,69152.0,31
종로구,필운동,아파트,69000.0,2
영등포구,영등포동8가,아파트,68556.0,53
은평구,증산동,아파트,68107.7,200
용산구,동빙고동,아파트,68000.0,1
종로구,명륜1가,아파트,67500.0,2
서대문구,남가좌동,아파트,67245.0,476
종로구,명륜2가,아파트,66230.0,20
성동구,도선동,아파트,65093.8,16
동작구,사당동,아파트,65073.5,779
성북구,안암동1가,아파트,64276.7,15
성동구,홍익동,아파트,64250.0,2
서대문구,북가좌동,아파트,64140.0,201
중구,신당동,아파트,64132.5,434
성동구,금호동3가,아파트,63924.8,136
동작구,신대방동,아파트,63886.9,326
송파구,석촌동,아파트,63878.6,46
동대문구,용두동,아파트,63411.0,256
은평구,수색동,아파트,63292.4,275
종로구,내수동,연립다세대,63000.0,1
마포구,토정동,아파트,62972.5,39
용산구,도원동,아파트,62730.1,71
성북구,삼선동4가,아파트,62400.0,5
송파구,장지동,아파트,62316.7,824
서대문구,영천동,아파트,62171.3,27
영등포구,당산동6가,아파트,61931.8,22
동대문구,전농동,아파트,61895.6,375
송파구,풍납동,아파트,61874.6,315
마포구,마포동,오피스텔,61666.7,3
용산구,이태원동,아파트,61493.7,58
종로구,교북동,아파트,61294.4,18
마포구,도화동,아파트,61256.1,259
서대문구,현저동,아파트,61185.0,60
은평구,진관동,연립다세대,60863.6,11
마포구,신정동,아파트,60723.9,24
영등포구,신길동,아파트,60717.2,802
구로구,신도림동,아파트,60697.6,375
성북구,보문동4가,아파트,60400.0,5
강동구,천호동,아파트,60166.1,318
중구,을지로5가,아파트,59940.0,5
용산구,문배동,단독다가구,59800.0,1
영등포구,양평동3가,아파트,59704.3,104
용산구,보광동,아파트,59601.9,27
강남구,수서동,아파트,59472.6,397
마포구,연남동,아파트,59425.0,20
중구,황학동,아파트,59414.5,93
동작구,대방동,아파트,59386.4,187
용산구,산천동,아파트,59291.7,86
송파구,오금동,아파트,59132.5,358
성북구,보문동6가,아파트,58992.9,42
용산구,신창동,아파트,58833.3,3
은평구,녹번동,아파트,58824.1,196
성북구,길음동,아파트,58594.4,875
강동구,성내동,아파트,58536.1,276
성북구,보문동3가,아파트,58481.2,32
강동구,암사동,아파트,58456.0,533
동대문구,답십리동,아파트,58418.4,535
성북구,장위동,아파트,58390.4,274
동작구,본동,아파트,58360.4,175
강남구,세곡동,아파트,58169.0,225
서초구,신원동,연립다세대,58000.0,1
성동구,응봉동,아파트,57840.7,192
영등포구,영등포동,아파트,57441.3,157
마포구,상암동,아파트,57411.5,368
양천구,목동,오피스텔,57350.6,190
종로구,평창동,단독다가구,57315.4,13
서대문구,연희동,아파트,57313.1,54
마포구,망원동,아파트,57298.6,131
종로구,당주동,아파트,57214.3,7
동작구,노량진동,아파트,57210.7,257
성북구,동소문동7가,아파트,56918.2,11
양천구,신정동,아파트,56918.0,1825
마포구,중동,아파트,56798.5,66
영등포구,당산동3가,아파트,56504.5,91
영등포구,양평동5가,아파트,56391.5,77
서대문구,충정로2가,아파트,56300.0,6
영등포구,당산동1가,아파트,56299.0,30
성북구,삼선동2가,아파트,56188.8,33
은평구,응암동,아파트,56125.0,661
강남구,율현동,아파트,56073.1,36
영등포구,도림동,아파트,56051.8,64
성북구,동소문동5가,아파트,55666.7,3
강동구,명일동,아파트,55598.0,515
강서구,염창동,아파트,55282.5,456
중구,의주로1가,오피스텔,55264.4,8
종로구,구기동,연립다세대,55237.8,37
종로구,교북동,단독다가구,55000.0,1
종로구,평창동,아파트,54809.4,22
서초구,신원동,단독다가구,54800.0,10
관악구,남현동,아파트,54626.5,33
성동구,마장동,아파트,54297.3,152
성북구,하월곡동,아파트,54276.8,225
동대문구,이문동,아파트,54267.3,403
관악구,봉천동,아파트,54227.0,997
성북구,종암동,아파트,53685.3,204
서대문구,홍제동,아파트,53560.2,510
종로구,신문로1가,아파트,53500.0,2
마포구,마포동,아파트,52991.4,35
성북구,돈암동,아파트,52702.4,342
광진구,군자동,아파트,52661.8,17
중구,만리동2가,오피스텔,52566.7,18
영등포구,문래동5가,아파트,52499.7,69
서초구,우면동,아파트,52431.8,581
강서구,내발산동,아파트,52158.0,426
서초구,내곡동,연립다세대,52000.0,4
서초구,신원동,아파트,51871.5,243
동대문구,장안동,아파트,51811.0,275
영등포구,양평동4가,아파트,51731.4,37
성동구,송정동,아파트,51715.5,20
용산구,원효로4가,아파트,51700.6,49
동대문구,제기동,아파트,51396.9,64
강남구,자곡동,아파트,51276.7,472
종로구,숭인동,아파트,51151.1,44
강서구,화곡동,아파트,50834.1,578
동대문구,청량리동,아파트,50746.6,120
영등포구,양평동6가,아파트,50681.6,19
영등포구,대림동,아파트,50570.1,277
송파구,삼전동,아파트,50558.9,14
동대문구,휘경동,아파트,50527.1,206
영등포구,문래동4가,아파트,50521.7,23
영등포구,당산동,아파트,50455.2,87
영등포구,여의도동,오피스텔,50436.5,179
강북구,미아동,아파트,50279.3,532
강동구,길동,아파트,50026.6,356
중랑구,면목동,아파트,50018.3,350
서초구,염곡동,연립다세대,50000.0,1
서대문구,천연동,아파트,49826.1,47
강남구,청담동,연립다세대,49441.7,70
서대문구,홍은동,아파트,49378.5,297
성동구,용답동,아파트,49286.0,25
동대문구,신설동,아파트,49265.0,10
성북구,석관동,아파트,49150.7,135
종로구,체부동,연립다세대,49000.0,2
성북구,동선동4가,아파트,49000.0,1
강동구,강일동,아파트,48964.5,529
구로구,항동,아파트,48940.9,128
강남구,자곡동,단독다가구,48333.3,3
성북구,보문동2가,오피스텔,48000.0,1
마포구,노고산동,아파트,47964.3,21
서초구,양재동,아파트,47855.5,297
서대문구,대현동,아파트,47845.7,57
은평구,불광동,아파트,47811.2,264
영등포구,문래동6가,아파트,47804.2,90
영등포구,당산동2가,아파트,47800.4,77
강남구,수서동,단독다가구,47750.0,2
송파구,마천동,아파트,47644.7,121
성북구,동소문동4가,아파트,47515.9,11
성동구,사근동,아파트,47356.2,8
중랑구,망우동,아파트,47230.4,116
중랑구,상봉동,아파트,46687.2,166
중구,북창동,오피스텔,46666.7,3
영등포구,양평동2가,아파트,46255.1,50
은평구,역촌동,아파트,46196.3,47
강서구,등촌동,아파트,46190.3,586
종로구,구기동,아파트,46133.3,3
동작구,노량진동,단독다가구,45993.6,94
송파구,신천동,오피스텔,45963.6,11
영등포구,문래동3가,오피스텔,45752.5,56
강서구,마곡동,아파트,45277.8,1281
광진구,광장동,연립다세대,45242.9,45
중랑구,중화동,아파트,45039.5,85
영등포구,양평동5가,단독다가구,45000.0,1
강서구,공항동,아파트,44982.2,21
서초구,염곡동,단독다가구,44918.8,8
중구,묵정동,아파트,44803.0,33
성북구,상월곡동,아파트,44760.5,31
금천구,독산동,아파트,44746.7,425
중랑구,묵동,아파트,44728.2,256
종로구,평창동,연립다세대,44259.2,26
양천구,신월동,아파트,44059.6,711
성북구,정릉동,아파트,44056.7,314
종로구,가회동,단독다가구,44013.3,3
용산구,용산동2가,아파트,43985.7,7
구로구,개봉동,아파트,43841.5,385
강서구,마곡동,단독다가구,43833.3,3
용산구,후암동,아파트,43662.5,16
영등포구,양평동1가,아파트,43022.8,78
성동구,옥수동,연립다세대,42981.2,8
관악구,신림동,아파트,42696.7,546
은평구,진관동,단독다가구,42333.3,3
강서구,내발산동,오피스텔,42165.0,6
영등포구,당산동2가,연립다세대,42000.0,1
서초구,내곡동,단독다가구,41800.0,5
종로구,창신동,아파트,41633.8,112
은평구,신사동,아파트,41456.9,249
중구,필동1가,오피스텔,41285.7,7
동대문구,전농동,오피스텔,41033.2,154
노원구,중계동,아파트,40968.6,1191
은평구,구산동,아파트,40940.9,33
강동구,강일동,단독다가구,40846.2,13
영등포구,문래동6가,오피스텔,40734.3,126
은평구,진관동,아파트,40574.1,964
동대문구,회기동,아파트,40488.5,39
강서구,가양동,아파트,40449.6,721
강남구,세곡동,단독다가구,40236.8,19
서대문구,신촌동,연립다세대,39500.0,2
종로구,수송동,오피스텔,39375.0,4
중구,만리동1가,오피스텔,39330.0,7
영등포구,도림동,오피스텔,39157.4,111
노원구,공릉동,아파트,39081.8,522
구로구,온수동,아파트,39040.7,53
강남구,논현동,오피스텔,39032.0,25
용산구,원효로2가,오피스텔,38950.0,32
용산구,한강로2가,오피스텔,38934.8,117
종로구,혜화동,오피스텔,38600.0,5
서초구,반포동,연립다세대,38557.0,285
서대문구,충정로3가,아파트,38152.2,23
은평구,갈현동,아파트,38062.2,72
노원구,하계동,아파트,37973.4,537
구로구,구로동,아파트,37957.1,925
구로구,오류동,아파트,37745.4,131
서초구,방배동,연립다세대,37683.6,747
동작구,동작동,연립다세대,37615.0,8
용산구,문배동,오피스텔,37524.8,122
구로구,신도림동,오피스텔,37297.2,133
강서구,방화동,아파트,37043.9,536
성북구,동소문동7가,연립다세대,37000.0,1
강북구,우이동,아파트,36868.3,14
강남구,대치동,연립다세대,36824.5,212
종로구,이화동,아파트,36700.0,1
종로구,부암동,단독다가구,36403.1,8
용산구,한강로1가,오피스텔,36389.2,68
용산구,한강로3가,오피스텔,36326.2,15
마포구,용강동,단독다가구,36250.0,4
서초구,서초동,연립다세대,36242.9,338
영등포구,양평동3가,오피스텔,36224.4,95
종로구,누하동,연립다세대,36200.0,3
영등포구,당산동2가,오피스텔,36101.6,45
종로구,신영동,아파트,36000.0,2
광진구,자양동,오피스텔,35997.5,61
성북구,안암동3가,아파트,35964.3,21
강동구,상일동,연립다세대,35943.7,56
구로구,가리봉동,아파트,35750.0,4
강남구,삼성동,연립다세대,35741.2,142
서초구,우면동,연립다세대,35727.4,53
서초구,방배동,오피스텔,35558.8,33
영등포구,영등포동5가,아파트,35500.0,5
서대문구,창천동,아파트,35375.0,4
용산구,이태원동,연립다세대,35262.9,131
마포구,도화동,오피스텔,35246.2,66
마포구,성산동,아파트,35244.4,406
도봉구,방학동,아파트,35112.7,322
종로구,구기동,단독다가구,35100.0,5
양천구,신정동,오피스텔,35058.6,136
용산구,도원동,연립다세대,35017.0,5
중구,회현동2가,연립다세대,35000.0,8
종로구,신교동,아파트,35000.0,1
서대문구,북아현동,오피스텔,34964.7,17
구로구,고척동,아파트,34873.2,290
강남구,율현동,단독다가구,34592.8,36
은평구,갈현동,오피스텔,34585.7,7
마포구,토정동,연립다세대,34561.1,9
종로구,교북동,오피스텔,34531.4,7
중구,을지로5가,오피스텔,34520.0,5
성북구,종암동,오피스텔,34500.0,2
영등포구,영등포동2가,아파트,34415.0,20
용산구,원효로1가,오피스텔,34319.8,60
광진구,중곡동,아파트,34302.7,26
금천구,시흥동,아파트,34133.4,351
노원구,월계동,아파트,34071.7,900
노원구,하계동,연립다세대,34007.4,22
용산구,문배동,연립다세대,34000.0,2
구로구,항동,단독다가구,34000.0,2
종로구,체부동,단독다가구,34000.0,2
도봉구,도봉동,아파트,33921.1,213
중구,순화동,오피스텔,33919.2,9
영등포구,당산동6가,오피스텔,33716.6,61
강남구,도곡동,연립다세대,33714.1,42
강남구,개포동,연립다세대,33702.8,273
도봉구,창동,아파트,33617.7,961
강남구,청담동,단독다가구,33521.1,19
서초구,양재동,연립다세대,33482.0,546
종로구,필운동,연립다세대,33455.0,4
중구,인현동2가,아파트,33391.1,32
중구,중림동,오피스텔,33373.4,49
종로구,홍파동,연립다세대,33333.3,3
강북구,수유동,아파트,33289.7,101
종로구,사직동,오피스텔,33266.7,6
노원구,중계동,오피스텔,33167.0,20
영등포구,당산동3가,오피스텔,33010.8,53
용산구,남영동,연립다세대,33000.0,2
마포구,현석동,연립다세대,32971.1,38
성북구,성북동,연립다세대,32947.2,128
중구,흥인동,아파트,32646.2,13
종로구,익선동,아파트,32628.6,7
중구,황학동,오피스텔,32498.6,310
금천구,가산동,아파트,32482.9,47
송파구,문정동,오피스텔,32391.5,357
송파구,송파동,오피스텔,32257.7,14
영등포구,영등포동3가,연립다세대,32177.5,2
중구,정동,아파트,32150.0,20
광진구,화양동,아파트,32119.0,29
강남구,신사동,연립다세대,32062.6,52
용산구,원효로2가,아파트,32020.0,5
강남구,세곡동,오피스텔,32002.7,55
성북구,동선동1가,아파트,32000.0,1
중구,만리동1가,연립다세대,31978.9,19
영등포구,문래동1가,오피스텔,31833.3,3
강남구,일원동,연립다세대,31705.1,191
종로구,신영동,연립다세대,31561.4,29
영등포구,양평동6가,오피스텔,31533.6,106
중구,남산동2가,연립다세대,31500.0,1
서대문구,합동,연립다세대,31500.0,1
도봉구,쌍문동,아파트,31459.4,298
영등포구,영등포동4가,오피스텔,31444.8,23
영등포구,양평동2가,오피스텔,31384.6,137
성동구,하왕십리동,연립다세대,31368.4,51
강남구,삼성동,오피스텔,31211.2,66
영등포구,양평동4가,오피스텔,31170.7,59
용산구,동자동,오피스텔,31147.1,34
종로구,부암동,연립다세대,31079.2,12
구로구,궁동,아파트,31056.7,7
구로구,천왕동,연립다세대,31000.0,1
중랑구,망우동,오피스텔,30850.9,248
성동구,행당동,연립다세대,30845.2,60
종로구,명륜1가,연립다세대,30833.3,18
송파구,잠실동,오피스텔,30812.2,64
성북구,동소문동6가,연립다세대,30750.0,4
영등포구,양평동5가,오피스텔,30651.3,46
종로구,옥인동,연립다세대,30425.0,8
강남구,논현동,연립다세대,30410.1,308
용산구,이태원동,오피스텔,30250.0,1
용산구,원효로2가,연립다세대,30188.1,49
영등포구,당산동6가,연립다세대,30123.4,41
영등포구,양평동1가,연립다세대,30092.9,14
성북구,보문동2가,연립다세대,30027.8,8
중구,필동2가,단독다가구,30000.0,1
종로구,낙원동,단독다가구,30000.0,1
영등포구,영등포동5가,단독다가구,30000.0,2
용산구,갈월동,아파트,30000.0,1
종로구,홍지동,연립다세대,30000.0,1
성북구,정릉동,오피스텔,30000.0,1
서대문구,영천동,연립다세대,30000.0,1
중구,필동3가,아파트,30000.0,1
강동구,고덕동,오피스텔,29947.1,17
영등포구,당산동3가,연립다세대,29816.7,6
서대문구,영천동,오피스텔,29800.0,2
중구,신당동,연립다세대,29721.0,236
송파구,방이동,오피스텔,29654.8,264
동작구,흑석동,연립다세대,29648.9,38
동대문구,신설동,연립다세대,29623.1,13
종로구,충신동,오피스텔,29600.0,5
서대문구,남가좌동,오피스텔,29535.0,2
동대문구,답십리동,오피스텔,29500.8,66
종로구,누하동,단독다가구,29475.0,4
송파구,거여동,오피스텔,29401.6,92
서초구,양재동,오피스텔,29350.0,20
광진구,능동,아파트,29313.3,3
성동구,성수동1가,오피스텔,29146.7,75
서대문구,합동,오피스텔,29133.3,6
영등포구,당산동1가,오피스텔,29119.9,41
성북구,보문동7가,오피스텔,29100.0,2
마포구,신공덕동,연립다세대,29086.7,21
도봉구,도봉동,오피스텔,29028.6,84
영등포구,당산동,단독다가구,29000.0,1
용산구,동빙고동,연립다세대,28990.6,32
구로구,천왕동,아파트,28944.9,322
마포구,구수동,연립다세대,28936.4,11
성동구,금호동2가,연립다세대,28875.0,8
동대문구,제기동,오피스텔,28860.0,10
용산구,효창동,연립다세대,28819.6,251
강남구,역삼동,연립다세대,28816.4,441
동작구,신대방동,오피스텔,28770.3,39
강남구,일원동,단독다가구,28758.4,57
영등포구,영등포동1가,아파트,28575.0,36
강북구,번동,아파트,28572.8,184
마포구,마포동,연립다세대,28566.7,18
강남구,자곡동,오피스텔,28557.3,90
종로구,옥인동,단독다가구,28500.0,4
종로구,종로6가,연립다세대,28384.6,13
성북구,안암동3가,연립다세대,28214.3,7
마포구,합정동,오피스텔,28174.0,17
성동구,행당동,오피스텔,28150.0,14
노원구,상계동,아파트,28144.7,2775
용산구,갈월동,연립다세대,28082.8,21
서초구,방배동,단독다가구,28042.5,174
서초구,신원동,오피스텔,28007.8,23
중구,회현동1가,오피스텔,28000.0,4
서초구,우면동,단독다가구,27990.0,11
서초구,서초동,오피스텔,27971.0,278
송파구,방이동,연립다세대,27933.7,451
마포구,공덕동,오피스텔,27918.2,151
종로구,계동,단독다가구,27916.7,6
종로구,효제동,아파트,27840.0,5
영등포구,영등포동7가,연립다세대,27691.7,12
성동구,홍익동,연립다세대,27642.9,7
마포구,성산동,오피스텔,27636.9,126
강서구,내발산동,연립다세대,27623.4,83
중구,광희동2가,연립다세대,27611.8,17
서초구,서초동,단독다가구,27609.7,62
마포구,대흥동,오피스텔,27600.0,5
용산구,청파동3가,연립다세대,27556.9,216
마포구,중동,연립다세대,27542.0,37
강동구,둔촌동,연립다세대,27502.5,136
용산구,원효로3가,오피스텔,27482.3,58
광진구,자양동,연립다세대,27391.7,847
강동구,둔촌동,오피스텔,27360.0,5
용산구,후암동,연립다세대,27301.8,285
성동구,하왕십리동,오피스텔,27220.0,11
송파구,송파동,연립다세대,27201.9,373
영등포구,문래동5가,오피스텔,27200.0,8
성북구,동소문동4가,연립다세대,27185.7,7
종로구,명륜4가,연립다세대,27150.0,2
송파구,잠실동,연립다세대,27035.1,449
종로구,화동,단독다가구,27000.0,1
서초구,잠원동,연립다세대,26950.0,26
강서구,염창동,오피스텔,26934.5,110
송파구,오금동,연립다세대,26925.9,171
강남구,대치동,오피스텔,26898.0,60
송파구,문정동,연립다세대,26889.6,236
은평구,신사동,오피스텔,26819.8,26
종로구,누상동,연립다세대,26816.1,25
영등포구,영등포동6가,연립다세대,26761.6,11
용산구,청파동2가,연립다세대,26712.9,70
서대문구,홍은동,오피스텔,26642.9,7
동작구,사당동,연립다세대,26642.7,456
중랑구,신내동,아파트,26607.2,964
동대문구,청량리동,오피스텔,26571.8,68
영등포구,영등포동8가,연립다세대,26525.0,4
용산구,원효로1가,연립다세대,26488.1,156
송파구,가락동,연립다세대,26471.4,251
광진구,구의동,연립다세대,26405.1,390
동작구,노량진동,연립다세대,26380.9,95
중구,광희동1가,오피스텔,26350.0,2
강동구,명일동,연립다세대,26349.8,121
광진구,능동,연립다세대,26310.9,101
성동구,도선동,오피스텔,26240.7,59
강서구,염창동,연립다세대,26238.9,27
성북구,보문동7가,연립다세대,26200.0,4
중구,광희동2가,오피스텔,26166.7,3
영등포구,영등포동5가,오피스텔,26158.0,15
용산구,동자동,연립다세대,26125.0,6
마포구,아현동,오피스텔,26100.0,22
송파구,삼전동,오피스텔,26072.7,22
용산구,용문동,연립다세대,26055.3,242
마포구,염리동,오피스텔,26025.0,8
성북구,삼선동3가,연립다세대,26000.0,6
성북구,동소문동4가,오피스텔,25964.3,7
광진구,광장동,오피스텔,25887.5,4
송파구,삼전동,연립다세대,25796.0,415
동대문구,장안동,오피스텔,25789.7,247
성북구,삼선동4가,연립다세대,25780.3,9
마포구,서교동,연립다세대,25744.1,130
성동구,응봉동,단독다가구,25671.4,7
용산구,청파동1가,오피스텔,25631.2,8
마포구,신공덕동,오피스텔,25628.7,21
마포구,공덕동,연립다세대,25627.8,56
중구,황학동,연립다세대,25617.6,21
중구,오장동,아파트,25600.0,7
중구,충무로5가,오피스텔,25600.0,5
강남구,대치동,단독다가구,25576.5,71
종로구,내수동,오피스텔,25566.2,34
중랑구,면목동,오피스텔,25490.5,57
영등포구,당산동1가,연립다세대,25387.4,35
중구,회현동1가,연립다세대,25371.9,40
마포구,동교동,연립다세대,25333.3,9
송파구,석촌동,연립다세대,25325.7,471
용산구,청파동1가,연립다세대,25322.2,173
중구,필동2가,연립다세대,25190.0,2
강남구,역삼동,오피스텔,25136.8,211
성동구,성수동1가,연립다세대,25063.2,121
성북구,동소문동1가,연립다세대,25037.0,3
강동구,고덕동,연립다세대,25026.6,184
성북구,동선동4가,연립다세대,25000.0,1
중구,남창동,아파트,25000.0,1
영등포구,영등포동5가,연립다세대,25000.0,6
중구,을지로4가,오피스텔,24966.4,7
송파구,석촌동,오피스텔,24940.0,16
성북구,삼선동4가,오피스텔,24937.5,6
강남구,개포동,오피스텔,24917.2,34
서대문구,대신동,연립다세대,24900.0,2
용산구,원효로3가,아파트,24875.0,4
마포구,합정동,연립다세대,24854.6,328
영등포구,양평동1가,오피스텔,24827.8,39
마포구,연남동,연립다세대,24810.9,94
중구,충무로5가,아파트,24794.4,18
강동구,암사동,연립다세대,24785.5,271
동작구,대방동,연립다세대,24781.2,84
영등포구,양평동2가,연립다세대,24750.0,4
서대문구,창천동,연립다세대,24739.0,71
강남구,도곡동,단독다가구,24733.2,25
은평구,진관동,오피스텔,24666.1,48
동대문구,답십리동,연립다세대,24594.4,94
광진구,군자동,연립다세대,24585.5,104
강동구,길동,연립다세대,24578.5,157
강남구,수서동,오피스텔,24573.5,17
강서구,등촌동,오피스텔,24573.0,391
동대문구,장안동,연립다세대,24557.5,139
용산구,한강로1가,연립다세대,24555.3,32
성북구,성북동1가,연립다세대,24537.5,4
서초구,잠원동,단독다가구,24535.7,14
마포구,망원동,연립다세대,24526.2,366
성동구,금호동3가,연립다세대,24518.5,63
마포구,신수동,연립다세대,24483.5,89
성북구,삼선동2가,연립다세대,24450.0,2
광진구,중곡동,연립다세대,24443.7,498
용산구,주성동,연립다세대,24429.4,12
영등포구,문래동3가,연립다세대,24408.0,5
강서구,염창동,단독다가구,24400.0,5
양천구,신월동,오피스텔,24399.2,28
중랑구,상봉동,오피스텔,24391.1,106
관악구,남현동,연립다세대,24361.7,65
종로구,인의동,오피스텔,24333.3,3
강동구,명일동,오피스텔,24328.0,66
영등포구,당산동4가,연립다세대,24312.5,8
용산구,동빙고동,단독다가구,24308.4,19
용산구,갈월동,오피스텔,24300.0,1
용산구,신계동,연립다세대,24289.6,25
동작구,상도1동,연립다세대,24280.3,39
중구,예장동,연립다세대,24266.4,11
마포구,용강동,연립다세대,24218.7,52
서대문구,연희동,연립다세대,24210.0,95
마포구,성산동,연립다세대,24193.3,288
강동구,길동,오피스텔,24181.0,61
중구,흥인동,오피스텔,24149.8,13
용산구,한남동,단독다가구,24147.1,17
강동구,천호동,연립다세대,24087.7,514
영등포구,양평동6가,연립다세대,24041.2,42
종로구,사직동,연립다세대,24011.7,6
종로구,통인동,아파트,24000.0,1
종로구,계동,연립다세대,24000.0,1
동작구,상도1동,오피스텔,24000.0,1
영등포구,대림동,오피스텔,23981.8,11
송파구,오금동,오피스텔,23911.1,9
중구,을지로6가,오피스텔,23900.0,2
강동구,성내동,연립다세대,23897.4,307
영등포구,영등포동2가,오피스텔,23871.2,188
서대문구,충정로3가,연립다세대,23871.0,21
송파구,가락동,오피스텔,23831.2,16
성동구,마장동,오피스텔,23821.4,7
구로구,가리봉동,오피스텔,23752.5,20
마포구,도화동,연립다세대,23685.4,88
영등포구,영등포동8가,오피스텔,23627.6,122
영등포구,당산동4가,단독다가구,23612.5,12
송파구,거여동,연립다세대,23604.0,90
동대문구,용두동,연립다세대,23600.8,138
용산구,보광동,연립다세대,23566.6,5
성북구,삼선동1가,연립다세대,23554.0,9
동작구,상도동,연립다세대,23540.5,530
영등포구,영등포동,연립다세대,23502.3,31
도봉구,쌍문동,오피스텔,23500.0,2
성북구,보문동6가,연립다세대,23500.0,2
강남구,신사동,오피스텔,23500.0,1
도봉구,창동,오피스텔,23483.0,132
종로구,경운동,오피스텔,23475.0,6
중구,충무로3가,오피스텔,23405.0,8
금천구,독산동,오피스텔,23378.5,648
용산구,서빙고동,연립다세대,23368.4,38
마포구,상수동,연립다세대,23347.3,64
영등포구,영등포동7가,오피스텔,23335.0,126
영등포구,당산동4가,오피스텔,23327.0,15
성동구,용답동,연립다세대,23298.1,154
종로구,원서동,연립다세대,23280.0,10
마포구,대흥동,연립다세대,23272.9,74
은평구,증산동,연립다세대,23253.9,40
강북구,번동,오피스텔,23250.0,14
중랑구,면목동,연립다세대,23228.1,545
